iter	Passed	Remaining
0	197	59135
1	368	54878
2	547	54170
3	743	55038
4	909	53656
5	1090	53445
6	1265	52953
7	2246	82001
8	2420	78253
9	2586	74995
10	2771	72807
11	2938	70513
12	3105	68558
13	3300	67419
14	3488	66279
15	3694	65569
16	3880	64598
17	4064	63682
18	4255	62941
19	4255	62941
20	4438	61912
21	5420	71753
22	5607	70603
23	5779	69354
24	5953	68216
25	6130	67190
26	6308	66242
27	6486	65349
28	6677	64628
29	6846	63742
30	7016	62911
31	7194	62195
32	7381	61588
33	7592	61198
34	7777	60618
35	7965	60082
36	8156	59589
37	8334	59014
38	8516	58495
39	8717	58116
40	8902	57646
41	9098	57255
42	9278	56776
43	9479	56436
44	9663	56006
45	9848	55592
46	10017	55095
47	10210	54743
48	10410	54437
49	10584	54000
50	10771	53641
51	10946	53228
52	11126	52849
53	11294	52424
54	11476	52071
55	11639	51635
56	11825	51312
57	11998	50940
58	12175	50590
59	12366	50303
60	12561	50036
61	12728	49661
62	12928	49421
63	13098	49069
64	13277	48753
65	13445	48405
66	13658	48217
67	13828	47884
68	13993	47537
69	14171	47238
70	14333	46891
71	14502	46570
72	14502	46570
73	14663	46028
74	14863	45812
75	15043	45538
76	15206	45215
77	16187	47285
78	16187	47285
79	16370	46772
80	16562	46502
81	16734	46180
82	16913	45879
83	17078	45542
84	18072	47386
85	18259	47078
86	18429	46731
87	18648	46512
88	18817	46169
89	18993	45846
90	19159	45503
91	19360	45246
92	19544	44952
93	19747	44703
94	19964	44485
95	20155	44212
96	20348	43944
97	20517	43626
98	20517	43626
99	20688	43101
100	21667	44450
101	21832	44109
102	22024	43826
103	22222	43556
104	22222	43556
105	22385	42998
106	22572	42711
107	22746	42400
108	22930	42112
109	23132	41858
110	23306	41555
111	24307	42708
112	24481	42388
113	24670	42097
114	24847	41788
115	25037	41503
116	25224	41214
117	25417	40937
118	25626	40687
119	25853	40466
120	26039	40181
121	26211	39877
122	26378	39567
123	26557	39278
124	26747	39006
125	26915	38704
126	27111	38444
127	27288	38160
128	27455	37862
129	27639	37589
130	27820	37315
131	28010	37052
132	28185	36773
133	28366	36502
134	28545	36230
135	28737	35976
136	28919	35711
137	29088	35430
138	29274	35172
139	29454	34909
140	29633	34644
141	29802	34370
142	29991	34120
143	30159	33847
144	30351	33603
145	30557	33375
146	30734	33115
147	30918	32864
148	31119	32632
149	31310	32389
150	31506	32154
151	31688	31904
152	31859	31644
153	32052	31407
154	32233	31159
155	32437	30933
156	32629	30697
157	32629	30697
158	33621	30984
159	33810	30736
160	33999	30489
161	34179	30235
162	34355	29979
163	34551	29740
164	34721	29480
165	34894	29224
166	35087	28985
167	35269	28737
168	35440	28482
169	35615	28231
170	35806	27994
171	35982	27745
172	36166	27503
173	36341	27256
174	36528	27018
175	36701	26770
176	36871	26521
177	37057	26285
178	37281	26075
179	37491	25856
180	37671	25616
181	37845	25373
182	38026	25136
183	38203	24896
184	38383	24659
185	38581	24434
186	38761	24199
187	38959	23974
188	39144	23743
189	39335	23515
190	39335	23515
191	39515	23068
192	40507	23302
193	40673	23055
194	40860	22821
195	41046	22586
196	41228	22350
197	41423	22121
198	41624	21896
199	41800	21658
200	41972	21418
201	42155	21186
202	42364	20966
203	42364	20966
